,SRR_id,tissue_name,STAR_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,bam_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,star_start_time,star_end_time,deseq2_star_start_time,deseq2_star_end_time
0,SRR13870534,adipose_tissue,91.54,314758873,2045699632,515208558,111,3755101,8,r7a.2xlarge,paired,i-043c011f355a31bc1,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR13870534_STAR_normalized_counts.tsv,2024-03-03T15:39:41,2024-03-03T15:39:49,2024-03-03T15:39:49,2024-03-03T15:39:52,2024-03-03T15:39:52,2024-03-03T15:40:20,2024-03-03T15:40:20,2024-03-03T15:40:42
1,SRR6742594,adipose_tissue,87.35,3416278879,20709104648,5846959987,111,46310790,8,r7a.2xlarge,paired,i-0b6f74d688a7d017a,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR6742594_STAR_normalized_counts.tsv,2024-03-03T15:39:22,2024-03-03T15:40:37,2024-03-03T15:40:37,2024-03-03T15:41:42,2024-03-03T15:41:42,2024-03-03T15:46:29,2024-03-03T15:46:29,2024-03-03T15:46:44
2,SRR16775393,breast_cells,92,2462241928,26699242512,3307951079,111,38322275,8,r7a.2xlarge,paired,i-0fcf1e87f340ec9a2,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR16775393_STAR_normalized_counts.tsv,2024-03-03T15:39:37,2024-03-03T15:40:39,2024-03-03T15:40:39,2024-03-03T15:42:06,2024-03-03T15:42:06,2024-03-03T15:47:30,2024-03-03T15:47:30,2024-03-03T15:47:45
3,SRR20740669,breast_cells,89.36,976305944,6605376766,1276779947,111,23251123,8,r7a.2xlarge,single,i-0463fffa708a8722e,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR20740669_STAR_normalized_counts.tsv,2024-03-03T15:39:22,2024-03-03T15:39:48,2024-03-03T15:39:48,2024-03-03T15:40:01,2024-03-03T15:40:01,2024-03-03T15:41:35,2024-03-03T15:41:35,2024-03-03T15:41:48
4,SRR2973332,breast_cells,85.46,528883438,2263926608,699612639,111,4058599,8,r7a.2xlarge,paired,i-0a97cdf06dd1df39f,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR2973332_STAR_normalized_counts.tsv,2024-03-03T15:39:22,2024-03-03T15:39:34,2024-03-03T15:39:34,2024-03-03T15:39:37,2024-03-03T15:39:37,2024-03-03T15:40:32,2024-03-03T15:40:32,2024-03-03T15:40:46
5,SRR3290912,breast_cells,85.31,1850689124,12395401176,3759944934,111,34297500,8,r7a.2xlarge,paired,i-0d17cd1c909baee02,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR3290912_STAR_normalized_counts.tsv,2024-03-03T15:39:22,2024-03-03T15:40:01,2024-03-03T15:40:01,2024-03-03T15:40:37,2024-03-03T15:40:37,2024-03-03T15:42:59,2024-03-03T15:42:59,2024-03-03T15:43:12
6,SRR5735068,breast_cells,84.66,1586324337,16260955208,3875213117,111,44428924,8,r7a.2xlarge,paired,i-0e6b507204a135eea,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR5735068_STAR_normalized_counts.tsv,2024-03-03T15:39:45,2024-03-03T15:40:19,2024-03-03T15:40:19,2024-03-03T15:41:09,2024-03-03T15:41:09,2024-03-03T15:45:31,2024-03-03T15:45:31,2024-03-03T15:45:46
7,SRR12540641,breast_cells,75.94,3976002212,25726980588,6203818342,111,36713549,8,r7a.2xlarge,paired,i-0b3afdedae31a47c8,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR12540641_STAR_normalized_counts.tsv,2024-03-03T15:39:42,2024-03-03T15:41:05,2024-03-03T15:41:05,2024-03-03T15:42:29,2024-03-03T15:42:29,2024-03-03T15:49:10,2024-03-03T15:49:10,2024-03-03T15:49:26
8,SRR17222363,endometrium,92.98,2250330025,18646719732,2490790140,111,24268923,8,r7a.2xlarge,paired,i-0c13f9bb4a58bb56c,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/endometrium/normalized_counts/SRR17222363_STAR_normalized_counts.tsv,2024-03-03T15:40:42,2024-03-03T15:41:34,2024-03-03T15:41:34,2024-03-03T15:42:31,2024-03-03T15:42:31,2024-03-03T15:48:31,2024-03-03T15:48:31,2024-03-03T15:48:37
9,SRR16212318,endometrium,90.55,4753222096,45656261284,5869733995,111,51127409,8,r7a.2xlarge,paired,i-06122de390dc98dae,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/endometrium/normalized_counts/SRR16212318_STAR_normalized_counts.tsv,2024-03-03T15:39:34,2024-03-03T15:41:20,2024-03-03T15:41:20,2024-03-03T15:45:08,2024-03-03T15:45:08,2024-03-03T15:55:59,2024-03-03T15:55:59,2024-03-03T15:56:16
10,SRR6286060,endometrium,88.95,12593097152,67094509420,11386770261,111,95101538,8,r7a.2xlarge,paired,i-0df9bc21fe0d3a0cb,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/endometrium/normalized_counts/SRR6286060_STAR_normalized_counts.tsv,2024-03-03T15:39:37,2024-03-03T15:44:08,2024-03-03T15:44:08,2024-03-03T15:50:09,2024-03-03T15:50:09,2024-03-03T16:05:24,2024-03-03T16:05:24,2024-03-03T16:05:43
11,SRR11653996,endometrium,7.41,3936225218,26867333576,5959698851,111,34737400,8,r7a.2xlarge,paired,i-0c541c06b195a7cad,EC2,s3://neardata-star-ec2-other/STAR/low_mapping_rate/endometrium/normalized_counts/SRR11653996_STAR_normalized_counts.tsv,2024-03-03T15:39:33,2024-03-03T15:40:59,2024-03-03T15:40:59,2024-03-03T15:42:30,2024-03-03T15:42:30,2024-03-03T16:03:39,2024-03-03T16:03:39,2024-03-03T16:03:59
12,SRR12235078,endothelium,87.96,1315865469,6836599308,1651314482,111,19431176,8,r7a.2xlarge,single,i-0fe7f1597ef56cae7,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/endothelium/normalized_counts/SRR12235078_STAR_normalized_counts.tsv,2024-03-03T15:39:37,2024-03-03T15:40:04,2024-03-03T15:40:04,2024-03-03T15:40:17,2024-03-03T15:40:17,2024-03-03T15:41:51,2024-03-03T15:41:51,2024-03-03T15:42:04
13,SRR21986285,endothelium,80.42,617689140,4449293694,1102623269,111,19204009,8,r7a.2xlarge,single,i-0718fd42cf2462117,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/endothelium/normalized_counts/SRR21986285_STAR_normalized_counts.tsv,2024-03-03T15:39:39,2024-03-03T15:39:54,2024-03-03T15:39:54,2024-03-03T15:40:03,2024-03-03T15:40:03,2024-03-03T15:41:20,2024-03-03T15:41:20,2024-03-03T15:41:33
14,SRR14233734,endothelium,79.38,404785467,2244972644,867141399,111,12442484,8,r7a.2xlarge,single,i-03430d6042b749b40,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/endothelium/normalized_counts/SRR14233734_STAR_normalized_counts.tsv,2024-03-03T15:39:37,2024-03-03T15:39:47,2024-03-03T15:39:47,2024-03-03T15:39:52,2024-03-03T15:39:52,2024-03-03T15:40:40,2024-03-03T15:40:40,2024-03-03T15:40:53
15,SRR6879134,endothelium,78.4,8995876464,81048949452,16741897555,111,117391579,8,r7a.2xlarge,paired,i-03430d6042b749b40,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/endothelium/normalized_counts/SRR6879134_STAR_normalized_counts.tsv,2024-03-03T15:43:36,2024-03-03T15:46:48,2024-03-03T15:46:48,2024-03-03T15:53:58,2024-03-03T15:53:58,2024-03-03T16:18:39,2024-03-03T16:18:39,2024-03-03T16:18:45
16,SRR16541622,endothelium,15.59,462164864,3083482152,712029248,111,4047606,8,r7a.2xlarge,paired,i-043c011f355a31bc1,EC2,s3://neardata-star-ec2-other/STAR/low_mapping_rate/endothelium/normalized_counts/SRR16541622_STAR_normalized_counts.tsv,2024-03-03T15:40:42,2024-03-03T15:40:53,2024-03-03T15:40:53,2024-03-03T15:40:57,2024-03-03T15:40:57,2024-03-03T15:44:08,2024-03-03T15:44:08,2024-03-03T15:44:14
17,SRR1724263,epithelium,74.79,308957579,1596629830,404512028,111,7301402,8,r7a.2xlarge,single,i-0a879098c1f1a24ef,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/epithelium/normalized_counts/SRR1724263_STAR_normalized_counts.tsv,2024-03-03T15:39:51,2024-03-03T15:39:59,2024-03-03T15:39:59,2024-03-03T15:40:03,2024-03-03T15:40:03,2024-03-03T15:40:30,2024-03-03T15:40:30,2024-03-03T15:40:43
18,SRR18253073,epithelium,69.16,341167589,1824622598,341296364,111,6894039,8,r7a.2xlarge,single,i-0c13f9bb4a58bb56c,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/epithelium/normalized_counts/SRR18253073_STAR_normalized_counts.tsv,2024-03-03T15:39:43,2024-03-03T15:39:52,2024-03-03T15:39:52,2024-03-03T15:39:55,2024-03-03T15:39:55,2024-03-03T15:40:23,2024-03-03T15:40:23,2024-03-03T15:40:42
19,SRR7093856,fibroblasts,90.11,472412659,3960475540,697427343,111,17262586,8,r7a.2xlarge,single,i-0e6b507204a135eea,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/fibroblasts/normalized_counts/SRR7093856_STAR_normalized_counts.tsv,2024-03-03T15:45:48,2024-03-03T15:45:58,2024-03-03T15:45:58,2024-03-03T15:46:06,2024-03-03T15:46:06,2024-03-03T15:46:56,2024-03-03T15:46:56,2024-03-03T15:47:02
20,SRR8866763,fibroblasts,80.94,780890977,5293829668,1345682677,111,21878497,8,r7a.2xlarge,single,i-0a97cdf06dd1df39f,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/fibroblasts/normalized_counts/SRR8866763_STAR_normalized_counts.tsv,2024-03-03T15:40:47,2024-03-03T15:41:04,2024-03-03T15:41:04,2024-03-03T15:41:13,2024-03-03T15:41:13,2024-03-03T15:42:24,2024-03-03T15:42:24,2024-03-03T15:42:29
21,SRR8981819,fibroblasts,78.69,6421228614,37875218184,8479503941,111,49432431,8,r7a.2xlarge,paired,i-09abdf803585f9c11,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/fibroblasts/normalized_counts/SRR8981819_STAR_normalized_counts.tsv,2024-03-03T15:39:44,2024-03-03T15:41:58,2024-03-03T15:41:58,2024-03-03T15:45:02,2024-03-03T15:45:02,2024-03-03T16:01:30,2024-03-03T16:01:30,2024-03-03T16:01:51
22,ERR5769920,fibroblasts,75.6,1582690562,10595385740,3246839244,111,15994423,8,r7a.2xlarge,paired,i-0718fd42cf2462117,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/fibroblasts/normalized_counts/ERR5769920_STAR_normalized_counts.tsv,2024-03-03T15:41:34,2024-03-03T15:42:07,2024-03-03T15:42:07,2024-03-03T15:42:34,2024-03-03T15:42:34,2024-03-03T15:46:06,2024-03-03T15:46:06,2024-03-03T15:46:12
23,ERR3671311,heart_muscle,90.07,410926012,3436222438,532336547,111,14932640,8,r7a.2xlarge,single,i-0b0f5569acb552c4d,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/heart_muscle/normalized_counts/ERR3671311_STAR_normalized_counts.tsv,2024-03-03T15:39:37,2024-03-03T15:39:47,2024-03-03T15:39:47,2024-03-03T15:39:53,2024-03-03T15:39:53,2024-03-03T15:40:37,2024-03-03T15:40:37,2024-03-03T15:40:50
24,SRR4240822,heart_muscle,90.05,2554703581,16369328280,3828117835,111,31800345,8,r7a.2xlarge,paired,i-0fe7f1597ef56cae7,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/heart_muscle/normalized_counts/SRR4240822_STAR_normalized_counts.tsv,2024-03-03T15:42:06,2024-03-03T15:43:01,2024-03-03T15:43:01,2024-03-03T15:43:50,2024-03-03T15:43:50,2024-03-03T15:46:52,2024-03-03T15:46:52,2024-03-03T15:46:58
25,SRR12503616,heart_muscle,88.66,1720016748,13332049450,1980839346,111,41099010,8,r7a.2xlarge,single,i-0463fffa708a8722e,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/heart_muscle/normalized_counts/SRR12503616_STAR_normalized_counts.tsv,2024-03-03T15:41:50,2024-03-03T15:42:27,2024-03-03T15:42:27,2024-03-03T15:43:04,2024-03-03T15:43:04,2024-03-03T15:45:40,2024-03-03T15:45:40,2024-03-03T15:45:46
26,SRR16145819,heart_muscle,88.55,2152535766,16629364226,2485144901,111,51246194,8,r7a.2xlarge,single,i-0cbf72f4ef5cceb5c,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/heart_muscle/normalized_counts/SRR16145819_STAR_normalized_counts.tsv,2024-03-03T15:46:32,2024-03-03T15:47:22,2024-03-03T15:47:22,2024-03-03T15:48:11,2024-03-03T15:48:11,2024-03-03T15:51:28,2024-03-03T15:51:28,2024-03-03T15:51:34
27,SRR12495892,intestine,82.46,1981200625,15452537308,2290036290,111,20131381,8,r7a.2xlarge,paired,i-0b6f74d688a7d017a,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/intestine/normalized_counts/SRR12495892_STAR_normalized_counts.tsv,2024-03-03T15:46:47,2024-03-03T15:47:30,2024-03-03T15:47:30,2024-03-03T15:48:15,2024-03-03T15:48:15,2024-03-03T15:56:35,2024-03-03T15:56:35,2024-03-03T15:56:41
28,SRR1220504,intestine,74.91,1360639506,6494987908,3039211168,111,9586715,8,r7a.2xlarge,paired,i-03430d6042b749b40,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/intestine/normalized_counts/SRR1220504_STAR_normalized_counts.tsv,2024-03-03T15:40:54,2024-03-03T15:41:24,2024-03-03T15:41:24,2024-03-03T15:41:39,2024-03-03T15:41:39,2024-03-03T15:43:28,2024-03-03T15:43:28,2024-03-03T15:43:34
29,SRR11245149,intestine,62.05,3886013024,17940220944,12465950375,111,50603525,8,r7a.2xlarge,single,i-0a879098c1f1a24ef,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/intestine/normalized_counts/SRR11245149_STAR_normalized_counts.tsv,2024-03-03T15:40:43,2024-03-03T15:42:03,2024-03-03T15:42:03,2024-03-03T15:42:58,2024-03-03T15:42:58,2024-03-03T15:49:03,2024-03-03T15:49:03,2024-03-03T15:49:10
30,SRR10600396,intestine,8.42,11808688005,77111111184,18144302358,111,100000000,8,r7a.2xlarge,paired,i-094ba73bdcfee8dd4,EC2,s3://neardata-star-ec2-other/STAR/low_mapping_rate/intestine/normalized_counts/SRR10600396_STAR_normalized_counts.tsv,2024-03-03T15:39:42,2024-03-03T15:43:36,2024-03-03T15:43:36,2024-03-03T15:50:28,2024-03-03T15:50:28,2024-03-03T17:03:05,2024-03-03T17:03:05,2024-03-03T17:03:26
31,SRR15269003,kidney_cells,89.69,742089882,5432454912,930248865,111,7085083,8,r7a.2xlarge,paired,i-0cbf72f4ef5cceb5c,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/kidney_cells/normalized_counts/SRR15269003_STAR_normalized_counts.tsv,2024-03-03T15:39:46,2024-03-03T15:40:04,2024-03-03T15:40:04,2024-03-03T15:40:11,2024-03-03T15:40:11,2024-03-03T15:42:36,2024-03-03T15:42:36,2024-03-03T15:42:50
