,SRR_id,tissue_name,STAR_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,bam_filesize_bytes,index_release,n_spots,nproc,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,star_start_time,star_end_time,deseq2_star_start_time,deseq2_star_end_time
0,SRR24501796,adipose_tissue,90.97,2239340426,17076091908,2844473546,111,22234431,16,paired,i-0fe013419f465b844,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR24501796_STAR_normalized_counts.txt,2024-02-18T13:07:09,2024-02-18T13:08:12,2024-02-18T13:08:12,2024-02-18T13:08:32,2024-02-18T13:08:32,2024-02-18T13:13:20,2024-02-18T13:13:20,2024-02-18T13:13:26
1,SRR13933701,adipose_tissue,90.51,646981724,7313999408,746054718,111,21145340,16,single,i-013a2fbf4237df8c4,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR13933701_STAR_normalized_counts.txt,2024-02-18T13:08:55,2024-02-18T13:09:13,2024-02-18T13:09:13,2024-02-18T13:09:24,2024-02-18T13:09:24,2024-02-18T13:10:25,2024-02-18T13:10:25,2024-02-18T13:10:31
2,SRR11227622,adipose_tissue,73.5,283332522,1771579552,366585687,111,2330456,16,paired,i-09656a5c336664c5d,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11227622_STAR_normalized_counts.txt,2024-02-18T13:07:14,2024-02-18T13:07:21,2024-02-18T13:07:21,2024-02-18T13:07:23,2024-02-18T13:07:23,2024-02-18T13:08:15,2024-02-18T13:08:15,2024-02-18T13:08:22
3,SRR11227918,adipose_tissue,70.39,303285946,1923547556,387951218,111,2529367,16,paired,i-044bcbab96fd9f2da,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11227918_STAR_normalized_counts.txt,2024-02-18T13:08:55,2024-02-18T13:09:02,2024-02-18T13:09:02,2024-02-18T13:09:04,2024-02-18T13:09:04,2024-02-18T13:09:52,2024-02-18T13:09:52,2024-02-18T13:09:58
4,SRR11226964,adipose_tissue,65.75,417463352,2608732552,547423663,111,3426206,16,paired,i-013a2fbf4237df8c4,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11226964_STAR_normalized_counts.txt,2024-02-18T13:07:09,2024-02-18T13:07:19,2024-02-18T13:07:19,2024-02-18T13:07:22,2024-02-18T13:07:22,2024-02-18T13:08:48,2024-02-18T13:08:48,2024-02-18T13:08:54
5,SRR11228417,adipose_tissue,55.37,252581586,1568843748,317790284,111,2065095,16,paired,i-05709995254912bb1,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11228417_STAR_normalized_counts.txt,2024-02-18T13:13:27,2024-02-18T13:13:32,2024-02-18T13:13:32,2024-02-18T13:13:34,2024-02-18T13:13:34,2024-02-18T13:15:00,2024-02-18T13:15:00,2024-02-18T13:15:06
6,SRR11227203,adipose_tissue,52.8,242620718,1529904196,339388171,111,2014127,16,paired,i-0f3169f893113600d,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11227203_STAR_normalized_counts.txt,2024-02-18T13:20:55,2024-02-18T13:21:02,2024-02-18T13:21:02,2024-02-18T13:21:04,2024-02-18T13:21:04,2024-02-18T13:22:07,2024-02-18T13:22:07,2024-02-18T13:22:13
7,SRR20740668,breast_cells,89.89,943866685,6442833528,1214474387,111,22682790,16,single,i-013a2fbf4237df8c4,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR20740668_STAR_normalized_counts.txt,2024-02-18T13:10:32,2024-02-18T13:10:58,2024-02-18T13:10:58,2024-02-18T13:11:10,2024-02-18T13:11:10,2024-02-18T13:12:21,2024-02-18T13:12:21,2024-02-18T13:12:26
8,SRR2155420,breast_cells,87.65,2873366558,12878586092,4008337173,111,37064178,16,single,i-00a380a09811d93b2,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR2155420_STAR_normalized_counts.txt,2024-02-18T13:07:16,2024-02-18T13:08:24,2024-02-18T13:08:24,2024-02-18T13:08:44,2024-02-18T13:08:44,2024-02-18T13:11:21,2024-02-18T13:11:21,2024-02-18T13:11:28
9,SRR12006129,breast_cells,87.25,2568033876,19806234560,3488369308,111,57142549,16,single,i-05709995254912bb1,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR12006129_STAR_normalized_counts.txt,2024-02-18T13:16:44,2024-02-18T13:17:42,2024-02-18T13:17:42,2024-02-18T13:18:14,2024-02-18T13:18:14,2024-02-18T13:21:22,2024-02-18T13:21:22,2024-02-18T13:21:27
10,SRR16694241,breast_cells,85.88,2214159546,20820824444,2587612996,111,23478872,16,paired,i-00a380a09811d93b2,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR16694241_STAR_normalized_counts.txt,2024-02-18T13:11:31,2024-02-18T13:12:29,2024-02-18T13:12:29,2024-02-18T13:12:56,2024-02-18T13:12:56,2024-02-18T13:17:17,2024-02-18T13:17:17,2024-02-18T13:17:23
11,SRR3544527,breast_cells,85.52,1570327407,12959329562,2224870470,111,56347778,16,single,i-0f3169f893113600d,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR3544527_STAR_normalized_counts.txt,2024-02-18T13:17:32,2024-02-18T13:18:12,2024-02-18T13:18:12,2024-02-18T13:18:37,2024-02-18T13:18:37,2024-02-18T13:20:47,2024-02-18T13:20:47,2024-02-18T13:20:52
12,SRR2973472,breast_cells,85.3,1221906243,5330291728,1546139119,111,9534251,16,paired,i-016d94688aa71db4a,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR2973472_STAR_normalized_counts.txt,2024-02-18T13:14:52,2024-02-18T13:15:21,2024-02-18T13:15:21,2024-02-18T13:15:28,2024-02-18T13:15:28,2024-02-18T13:16:55,2024-02-18T13:16:55,2024-02-18T13:17:01
13,SRR11509679,breast_cells,76.82,1745943502,11790525060,3377375954,111,25383363,16,paired,i-04f494d0d9c7315f0,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR11509679_STAR_normalized_counts.txt,2024-02-18T13:12:59,2024-02-18T13:13:40,2024-02-18T13:13:40,2024-02-18T13:13:56,2024-02-18T13:13:56,2024-02-18T13:17:14,2024-02-18T13:17:14,2024-02-18T13:17:19
14,SRR1313095,breast_cells,73.2,4213923011,22596189812,8029762083,111,60509961,16,paired,i-0a97cdb8dcbfea455,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR1313095_STAR_normalized_counts.txt,2024-02-18T13:20:00,2024-02-18T13:21:42,2024-02-18T13:21:42,2024-02-18T13:22:13,2024-02-18T13:22:13,2024-02-18T13:26:10,2024-02-18T13:26:10,2024-02-18T13:26:16
15,SRR8354890,breast_cells,71.27,1102042955,8066751652,2915050878,111,34962052,16,single,i-05709995254912bb1,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR8354890_STAR_normalized_counts.txt,2024-02-18T13:07:11,2024-02-18T13:07:37,2024-02-18T13:07:37,2024-02-18T13:07:52,2024-02-18T13:07:52,2024-02-18T13:10:13,2024-02-18T13:10:13,2024-02-18T13:10:19
16,SRR8445103,breast_cells,68.15,2371511168,19119751770,6889688860,111,41770114,16,paired,i-09656a5c336664c5d,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR8445103_STAR_normalized_counts.txt,2024-02-18T13:08:23,2024-02-18T13:09:14,2024-02-18T13:09:14,2024-02-18T13:09:40,2024-02-18T13:09:40,2024-02-18T13:14:19,2024-02-18T13:14:19,2024-02-18T13:14:25
